"streetID","burglary","totalhouses","distance","connectivity","choice_q","integ_q","business_q","socioeconomic_q"
"S646",19,67,168.686,2,1,1,3,2
"S647",3,42,373.304,5,3,2,3,3
"S648",22,37,93.189,6,2,1,3,1
"S649",26,84,361.87,7,4,2,3,2
"S650",3,35,72.359,5,2,1,3,1
"S651",23,69,310.286,6,4,2,3,3
"S652",18,44,124.949,2,2,2,3,3
"S653",6,38,120.404,2,2,2,3,1
"S654",18,64,84.126,2,2,2,3,4
"S655",6,28,78.302,2,2,2,3,5
"S656",8,55,504.921,7,3,2,3,2
"S657",18,73,514.262,6,4,2,4,2
"S658",1,84,516.679,10,4,1,3,4
"S659",4,35,173.626,3,3,2,3,4
"S660",2,21,166.67,3,3,2,3,3
"S661",18,45,245.489,4,2,1,4,4
"S662",31,62,61.454,4,1,1,3,5
"S663",11,71,115.369,1,1,1,3,2
"S664",7,32,122.118,4,2,1,4,3
"S665",49,72,298.943,8,3,1,3,3
"S666",12,42,195.419,5,2,1,4,4
"S667",63,91,121.913,4,3,1,3,3
"S668",21,44,123.314,6,2,1,4,3
"S669",0,27,180.607,6,3,1,3,4
"S670",9,52,183.897,4,2,1,3,2
"S671",6,46,109.9,2,2,2,3,1
"S672",40,105,289.929,3,4,2,3,1
"S673",8,71,119.166,6,2,1,3,5
"S674",18,96,354.712,3,3,1,3,4
"S675",20,53,269.409,2,2,1,3,5
"S676",8,54,452.944,13,4,1,5,2
"S677",6,38,442.909,15,4,1,3,5
"S678",10,49,190.793,2,2,1,3,2
"S679",12,48,205.753,2,2,1,3,4
"S680",0,59,320.272,2,4,2,3,4
"S681",12,54,282.327,4,3,2,3,4
"S682",39,69,250.273,10,4,2,4,2
"S683",4,45,249.716,2,2,1,5,3
"S684",1,26,249.184,7,3,1,5,1
"S685",4,32,248.541,3,2,1,4,1
"S686",3,29,199.579,2,1,1,5,1
"S687",16,40,182.782,11,4,1,3,3
"S688",0,35,168.38,7,3,1,3,1
"S689",28,45,85.37,5,2,1,3,3
"S690",29,67,118.027,2,2,1,3,3
"S691",4,19,64.54,1,1,1,3,4
"S692",0,40,218.858,1,1,1,3,5
"S693",1,37,196.279,13,3,1,5,1
"S694",32,49,76.139,4,3,1,3,4
"S695",10,24,86.061,6,3,1,3,3
"S696",1,34,313.808,16,4,1,5,2
"S697",8,36,60.551,1,1,1,3,3
"S698",14,48,149.783,1,1,1,3,2
"S699",24,58,105.05,10,4,1,5,1
"S700",7,31,121.085,12,4,1,3,1
"S701",7,30,130.185,2,2,1,5,3
"S702",6,38,143.443,2,2,1,5,1
"S703",2,39,121.329,4,2,1,5,1
"S704",6,26,105.231,4,2,1,5,5
"S705",9,26,177.307,10,3,1,5,1
"S706",2,73,263.867,4,2,1,5,2
"S707",57,77,228.009,8,4,1,5,1
"S708",26,64,143.499,12,4,1,5,3
"S709",20,45,161.217,2,2,1,5,3
"S710",21,41,142.369,5,2,1,4,1
"S711",15,52,319.27,15,4,1,5,2
"S712",11,47,157.965,2,2,1,4,2
"S713",2,45,188.603,2,2,1,4,2
"S714",34,73,217.602,11,3,1,5,3
"S715",1,27,71.714,3,1,1,3,3
"S716",5,32,74.641,8,3,2,5,5
"S717",6,55,50.396,1,1,3,5,1
"S718",6,40,33.079,1,1,2,3,1
"S719",8,16,65.819,2,3,4,5,4
"S720",9,41,43.101,1,1,4,3,3
"S721",8,27,82.721,2,2,4,3,1
"S722",1,17,35.343,1,1,3,3,3
"S723",5,22,92.13,3,2,4,3,1
"S724",13,26,78.014,4,4,4,5,2
"S725",4,54,552.037,18,4,4,5,5
"S726",2,62,444.631,6,4,4,5,4
"S727",14,40,50.167,2,1,3,3,2
"S728",1,59,480.324,17,4,4,4,4
"S729",1,39,198.058,14,4,4,4,5
"S730",4,98,994.394,20,4,4,4,4
"S731",0,48,938.929,14,4,4,4,5
"S732",3,69,666.491,19,4,4,5,3
"S733",1,122,887.123,13,4,4,4,5
"S734",1,61,673.193,8,4,4,4,5
"S735",20,30,325.285,13,4,1,5,1
"S736",3,25,321.694,15,4,1,5,3
"S737",10,49,283.942,5,4,2,3,5
"S738",0,37,117.638,1,1,1,3,4
"S739",20,90,1020.7,20,4,3,3,5
"S740",46,59,66.04,1,1,2,3,5
"S741",19,70,310.028,2,1,1,5,1
"S742",3,73,684.849,17,4,2,5,5
"S743",20,89,549.14,11,4,3,3,5
