ROWID,PM10,CO,NO2,TotalPop,Overall,RESP,CVD
283,122.7363562,1.609547945,105.3675753,158,21,0,21
284,100.7357956,1.193715328,77.43046715,248,44,14,30
285,89.00290909,0.940854545,58.55310909,142,10,0,10
286,123.7864894,1.421574468,90.5372766,70,23,0,23
287,136.4588167,1.744825,109.3095917,426,41,0,41
288,31.6934,0.1976,5.9293,10,1,0,1
289,125.9485263,1.499236842,89.70231579,62,9,0,9
290,143.6367179,1.544884615,103.906359,74,32,13,19
291,66.16427119,0.736677966,34.28938983,30,16,0,16
292,158.8124353,2.769545455,165.1644904,1866,727,201,526
293,160.2991882,2.295311765,122.0159,424,78,28,50
294,146.9549265,1.919852941,98.87722059,110,18,0,18
295,149.2976452,1.572096774,112.5694194,74,10,0,10
296,129.9670667,1.6488,93.23806667,22,4,0,4
297,76.168,0.806439024,35.65656098,68,7,0,7
298,118.2487778,0.9385,69.80561111,40,5,0,5
299,159.2149622,2.124475676,148.0235243,482,84,23,61
300,149.0615864,2.029465969,142.2515916,536,85,31,54
301,134.5323725,1.296568627,92.07321569,108,10,0,10
302,133.3390455,1.642718182,114.4436545,200,34,10,24
303,128.6391475,1.476221311,101.6655328,246,28,0,28
304,140.8042619,1.728928571,100.8948095,104,11,0,11
305,121.6665702,1.582850877,103.8320526,128,33,10,23
306,70.32101818,0.792018182,38.65096364,48,12,0,12
307,84.60257516,1.033843137,54.46096732,394,73,15,58
308,163.9850597,2.484890547,145.5627363,712,76,18,58
309,169.5516646,2.686781646,175.7951867,1066,233,76,157
310,164.7593077,2.256435897,149.0457179,252,8,0,8
311,148.7124762,1.927809524,120.4283333,116,20,0,20
312,131.8822308,1.422192308,84.17376923,66,13,0,13
313,75.76884722,0.754152778,36.50156944,30,45,13,32
314,161.7172476,2.310670846,137.8742978,1468,212,60,152
315,157.8805472,2.349783465,164.2807441,262,118,48,70
